,wordone,wordtwo,mean,sim,LCS
63,floor,ceiling,1.73,4.5,architectural element
64,beach,seashore,8.33,5.25,shore
65,rod,curtain,3.03,1.44,artificial entity
66,hound,fox,2.38,2.42,polyphyletic common name
67,street,alley,5.48,6.33,street
68,boat,deck,4.28,4.16,watercraft
69,car,horn,2.57,4.05,transport
70,friend,guest,4.25,1.68,subject
71,employer,employee,3.65,1.44,concept
72,hand,wrist,3.97,5.89,free upper limb segment
73,ball,cannon,2.58,1.44,class
74,alcohol,brandy,6.98,4.11,Q24700923
75,victory,triumph,8.98,8.4,victory
76,telephone,booth,3.63,1.26,work
77,door,doorway,5.4,10.0,doorway
78,motel,inn,8.17,4.47,hotel building
79,clothes,cloth,5.47,5.46,clothing
80,steak,meat,7.47,4.61,food
81,nail,thumb,3.55,2.4,anatomical structure
82,band,orchestra,7.08,5.05,musical group
83,book,bible,5.0,3.5,text
84,business,industry,7.02,6.03,economic branch
85,winter,season,6.27,6.57,season
86,decade,century,3.48,7.68,decade
87,alcohol,gin,8.65,3.58,Q24700923
88,hat,coat,2.67,3.76,clothing
89,window,door,3.33,6.44,window
90,arm,wrist,3.57,4.2,subdivision of cardinal body part
91,house,apartment,5.8,3.76,house
92,glass,crystal,6.27,4.24,solid
93,wine,brandy,5.15,5.85,alcoholic beverage
94,creator,maker,9.62,1.44,concept
95,dinner,breakfast,3.33,6.0,meals
96,arm,muscle,3.72,2.97,anatomical structure
97,bubble,suds,8.57,1.46,physical system
98,bread,flour,3.33,7.78,flour
99,death,tragedy,5.8,2.52,occurrence
100,absence,presence,0.4,2.51,concept
101,gun,cannon,5.68,5.26,weapon family
102,grass,blade,4.57,1.68,first-order metaclass
103,ball,basket,1.67,6.32,sports equipment
104,hose,garden,1.67,2.01,artificial entity
105,boy,kid,7.5,7.94,child
106,church,choir,2.95,6.45,church building
107,clothes,drawer,3.02,2.61,product
108,tower,bell,1.9,5.53,bell tower
109,father,parent,7.07,8.19,parent
110,school,grade,4.42,1.68,first-order metaclass
111,parent,adult,5.37,2.0,entity
112,bar,jail,1.9,2.73,facility
113,car,highway,3.4,1.67,classification system
114,dictionary,definition,6.25,2.12,written work
115,door,cellar,1.97,2.91,architectural element
116,army,legion,5.95,6.4,army
117,metal,aluminum,7.25,4.08,base material
118,chair,bench,6.67,10.0,seat
119,cloud,fog,6.0,5.81,cloud
120,boy,son,6.75,6.28,male human
121,water,ice,6.47,10.0,ice
122,bed,blanket,3.02,6.22,sleep
123,attorney,lawyer,9.35,10.0,lawyer
124,area,zone,8.33,10.0,level
125,business,company,9.02,6.38,company
126,clothes,fabric,5.87,7.06,clothing
127,sweater,jacket,7.15,3.76,clothing
128,money,capital,6.67,2.02,economic concept
129,hand,foot,4.17,7.13,human-based unit of measurement
130,alcohol,cocktail,6.73,4.11,Q24700923
131,yard,inch,3.78,6.25,unit of length
132,molecule,atom,6.45,5.95,atom
133,lens,camera,4.28,5.4,objective
134,meal,dinner,7.15,7.5,meals
135,eye,tear,3.55,2.02,material anatomical entity
136,god,devil,1.8,6.03,deity
137,loop,belt,3.1,2.51,concept
138,rat,mouse,7.78,3.9,polyphyletic common name
139,motor,engine,8.65,10.0,engine
140,car,cab,7.42,7.44,taxi
141,cat,lion,6.75,2.9,list
142,size,magnitude,6.33,10.0,magnitude
143,reality,fantasy,1.03,2.51,concept
144,door,gate,5.25,4.5,architectural element
145,cat,pet,5.95,7.65,pet
146,tin,aluminum,6.42,4.62,chemical element
147,bone,jaw,4.17,4.54,animal organ
148,cereal,wheat,3.75,7.75,cereal
149,house,key,1.9,3.0,music
150,blood,flesh,4.28,3.52,tissue
151,door,corridor,3.73,2.47,architectural element
152,god,spirit,7.3,4.22,abstract being
153,capability,competence,7.62,3.35,capability
154,abundance,plenty,8.97,1.44,measure
155,sofa,chair,6.67,7.35,seat
156,wall,brick,4.68,1.75,product
157,horn,drum,2.68,3.9,class of instruments
158,organ,liver,6.15,5.54,organ
159,strength,might,7.07,2.36,visual artwork
160,phrase,word,5.48,5.03,phrase
161,band,parade,3.92,1.12,occurrence
162,stomach,waist,5.9,2.4,anatomical structure
163,cloud,storm,5.6,3.46,natural phenomenon
164,joy,pride,5.0,5.02,emotion
165,noise,rattle,6.17,2.56,music
166,rain,mist,5.97,8.34,rain
167,beer,beverage,5.42,4.62,drink
168,man,uncle,3.92,2.02,social group
169,apple,juice,2.88,6.24,fruit
170,intelligence,logic,6.5,2.02,cognition
171,communication,language,7.47,5.17,communication medium
172,mink,fur,6.83,1.68,Wikidata metaclass
173,mob,crowd,7.85,10.0,crowd
174,shore,coast,8.83,10.0,bank
175,wire,cord,7.62,6.79,cord
176,bird,turkey,6.58,3.81,taxon
177,bed,crib,7.3,7.68,bed
178,competence,ability,7.5,3.35,capability
179,cloud,haze,7.32,4.42,natural phenomenon
180,supper,meal,7.53,7.5,meals
181,bar,cage,2.8,1.94,architectural structure
182,water,salt,1.3,4.09,chemical compound
183,sense,intuition,7.68,3.36,psychology terminology
184,situation,condition,6.58,5.03,condition
185,crime,theft,7.53,5.77,crime
186,style,fashion,8.5,3.36,culture
187,boundary,border,9.08,10.0,border
188,arm,body,4.05,3.88,anatomical structure
189,boat,car,2.37,3.38,mode of transport
190,sandwich,lunch,6.3,0.91,entity
191,bride,princess,2.8,6.46,woman
192,heroine,hero,8.78,10.0,hero
193,car,gauge,1.13,3.17,device
194,insect,bee,6.07,8.21,insect
195,crib,cradle,8.55,10.0,infant bed
196,animal,person,3.05,2.91,taxon
197,marijuana,herb,6.5,10.0,cannabis
198,bed,hospital,0.92,2.73,facility
199,cheek,tongue,4.52,2.97,anatomical structure
200,disc,computer,3.2,3.62,computer hardware
201,curve,angle,3.33,3.64,shape
202,grass,moss,5.0,3.81,taxon
203,school,law,1.13,1.68,first-order metaclass
204,foot,head,2.3,3.88,anatomical structure
205,mother,guardian,6.5,4.45,kinship
206,orthodontist,dentist,8.27,8.34,dentist
207,alcohol,whiskey,7.27,3.58,Q24700923
208,mouth,tooth,6.3,8.22,mouth
209,breakfast,bacon,4.37,0.77,entity
210,bathroom,bedroom,3.4,4.53,room
211,plate,bowl,5.23,6.26,tableware
212,meat,bacon,5.8,6.35,meat
213,air,helium,3.63,7.15,lifting gas
214,worker,employer,5.37,2.02,agent
215,body,chest,4.45,3.88,anatomical structure
216,son,father,3.82,6.16,kinship
217,heart,surgery,1.08,2.01,first-order metaclass
218,woman,secretary,1.98,1.67,concept
219,man,father,4.83,2.02,social group
220,beach,island,5.6,4.28,landform
221,story,topic,5.0,2.34,list
222,game,fun,3.42,1.67,work
223,weekend,week,4.0,6.5,week
224,couple,pair,8.33,10.0,ordered pair
225,woman,wife,5.72,6.41,female human
226,sheep,cattle,4.77,4.54,domesticated animal
227,purse,bag,8.33,8.03,bag
228,ceiling,cathedral,2.42,2.8,building
229,bean,coffee,5.15,3.63,food
230,wood,paper,2.88,2.16,base material
231,top,side,1.9,8.33,side
232,crime,fraud,5.65,7.32,crime
233,pain,harm,5.38,2.01,philosophical concept
234,lover,companion,5.97,6.0,character type
235,evening,dusk,7.78,4.82,day
236,father,daughter,2.62,6.16,kinship
237,wine,liquor,7.85,5.85,alcoholic beverage
238,cow,goat,2.93,5.56,heraldic animal
239,belief,opinion,7.7,1.44,notion
240,reality,illusion,1.42,3.36,psychology terminology
241,pact,agreement,9.02,10.0,agreement
242,wealth,poverty,1.27,3.36,state
243,accident,emergency,4.93,2.02,condition
244,battle,conquest,7.22,2.52,occurrence
245,friend,teacher,2.62,1.68,person
246,illness,infection,6.9,6.92,disease
247,game,trick,2.32,3.13,event
248,brother,son,3.48,6.16,kinship
249,aunt,nephew,3.1,6.16,kinship
250,worker,mechanic,4.92,3.36,worker
251,doctor,orthodontist,5.58,2.52,profession
252,oak,maple,6.03,6.95,broadleaf tree
253,bee,queen,3.27,1.68,first-order metaclass
254,car,bicycle,3.47,5.05,transport
255,goal,quest,5.83,3.35,concept
256,august,month,5.53,7.7,calendar month
257,army,squad,5.08,4.33,military unit
258,cloud,weather,4.87,4.42,natural phenomenon
259,physician,doctor,8.88,10.0,physician
260,canyon,valley,6.75,6.66,valley
261,river,valley,1.67,3.06,natural geographic object
262,sun,sky,2.27,1.44,concept
263,target,arrow,3.25,2.0,entity
264,chocolate,pie,2.27,3.0,food
265,circumstance,situation,7.85,1.68,condition
266,opinion,choice,5.43,2.89,statement
267,rhythm,melody,6.12,5.04,aspect of music
268,gut,nerve,4.93,2.97,anatomical structure
269,day,dawn,5.47,6.5,day
270,cattle,beef,7.03,1.12,first-order metaclass
271,doctor,professor,4.65,4.6,title of honor
272,arm,vein,3.65,2.97,anatomical structure
273,room,bath,3.33,1.43,structure
274,corporation,business,9.02,4.69,company
275,fun,football,1.97,1.26,information
276,hill,cliff,4.28,4.28,landform
277,bone,ankle,3.82,2.97,anatomical structure
278,apple,candy,2.08,3.0,food
279,helper,maid,5.58,2.02,person
280,leader,manager,7.27,4.82,position
281,lemon,tea,1.6,2.57,chemical compound
282,bee,ant,2.78,6.96,insect
283,basketball,baseball,4.92,6.65,ball
284,rice,bean,2.72,3.63,food
285,bed,furniture,6.08,6.2,furniture
286,emotion,passion,7.72,6.69,emotion
287,anarchy,chaos,7.93,3.35,concept
288,crime,violation,7.12,2.08,problem
289,machine,engine,5.58,6.16,machine
290,beach,sea,4.68,3.01,geographic location
291,alley,bowl,1.53,1.47,artificial physical object
292,jar,bottle,7.83,5.46,bin
293,strength,capability,5.28,1.67,system
294,seed,mustard,3.48,6.72,seed
295,guitar,drum,3.78,3.9,class of instruments
296,opinion,idea,5.7,2.01,notion
297,north,west,3.63,7.38,cardinal direction
298,diet,salad,2.98,1.12,artificial entity
299,mother,wife,3.02,6.41,female human
300,dad,mother,3.55,6.16,kinship
301,captain,sailor,5.0,8.07,sailor
302,meter,yard,5.6,6.25,unit of length
303,beer,champagne,4.45,1.68,first-order metaclass
304,motor,boat,2.57,3.38,vehicle
305,card,bridge,1.97,2.45,technological component
306,science,psychology,4.92,3.36,academic discipline
307,sinner,saint,1.6,1.68,person
308,destruction,construction,0.98,3.36,occurrence
309,crowd,bunch,7.42,2.52,person
310,beach,reef,3.77,3.32,landform
311,man,child,4.13,2.42,organism
312,bread,cheese,1.95,3.63,food
313,champion,winner,8.73,8.3,winner
314,celebration,ceremony,7.72,4.77,event
315,menu,order,3.62,2.11,communication
316,king,princess,3.27,5.18,chess piece
317,wealth,prestige,6.07,2.01,term
318,endurance,strength,6.58,1.12,abstract object
319,danger,threat,8.78,1.44,abstract object
320,god,priest,4.5,1.67,concept
321,men,fraternity,3.13,3.16,social organization
322,buddy,companion,8.65,2.83,fictional character
323,teacher,helper,4.28,4.82,position
324,body,stomach,3.93,3.88,anatomical structure
325,tongue,throat,3.1,3.88,anatomical structure
326,house,carpet,1.38,1.94,architectural structure
327,intelligence,skill,5.35,2.01,property
328,journey,conquest,4.72,3.36,occurrence
329,god,prey,1.23,1.43,entity
330,brother,soul,0.97,2.02,person
331,adversary,opponent,9.05,10.0,adversary
332,death,catastrophe,4.13,2.52,occurrence
333,monster,demon,6.95,5.12,mythical creature
334,day,morning,4.87,6.5,day
335,man,victor,1.9,1.68,group of humans
336,friend,guy,3.88,1.28,physical object
337,song,story,3.97,4.67,literary work
338,ray,sunshine,6.83,2.01,class
339,guy,stud,5.83,4.73,sex
340,chicken,rice,1.43,3.63,food
341,box,elevator,1.32,3.53,architectural element
342,butter,potato,1.22,3.64,food ingredient
343,apartment,furniture,1.28,1.26,product
344,lake,swamp,4.92,2.09,natural geographic object
345,salad,vinegar,1.13,3.63,food
346,flower,bulb,4.48,5.03,plant structure
347,cloud,mist,6.67,5.1,cloud
348,driver,pilot,6.28,8.11,vehicle operator
349,sugar,honey,5.13,4.62,food ingredient
350,body,shoulder,2.88,2.97,anatomical structure
351,idea,image,3.55,3.35,concept
352,father,brother,4.2,6.16,kinship
353,moon,planet,5.87,6.58,planetary system
354,ball,costume,2.32,3.14,equipment
355,rail,fence,5.22,2.54,artificial geographic entity
356,room,bed,2.35,2.37,location
357,flower,bush,4.25,5.71,heraldic plant
358,bone,knee,4.17,2.9,tissue
359,arm,knee,2.75,5.61,anatomical region
360,bottom,side,2.63,8.33,side
361,vessel,vein,5.15,6.53,vessel
362,cat,rabbit,2.37,3.9,polyphyletic common name
363,meat,sandwich,2.35,3.63,food
364,belief,concept,5.08,2.51,concept
365,intelligence,insight,5.9,1.67,property
366,attention,interest,7.22,3.36,psychology terminology
367,attitude,confidence,4.35,1.67,entity
368,right,justice,7.05,2.52,academic discipline
369,argument,agreement,1.45,3.97,Wikimedia disambiguation page
370,depth,magnitude,6.12,5.32,scalar magnitude
371,medium,news,3.65,3.49,communication
372,winner,candidate,2.78,2.52,person
373,birthday,date,5.08,6.5,calendar date
374,fee,payment,7.15,2.88,legal transaction
375,bible,hymn,5.15,2.12,text
376,exit,doorway,5.5,10.0,doorway
377,man,sentry,3.25,2.01,system
378,aisle,hall,6.35,3.53,part of building
379,whiskey,gin,6.28,6.58,liquor
380,blood,marrow,3.4,3.63,food
381,oil,mink,1.23,1.01,concept
382,floor,deck,5.55,4.75,floor
383,roof,floor,2.62,4.5,architectural element
384,door,floor,1.67,4.5,architectural element
385,shoulder,head,3.42,6.57,anatomical region
386,wagon,carriage,7.7,5.72,coachwork type
387,car,carriage,5.13,4.06,wheeled vehicle
388,elbow,ankle,3.13,3.88,anatomical structure
389,wealth,fame,4.02,1.11,variable-order metaclass
390,sorrow,shame,4.77,3.36,psychology terminology
391,administration,management,7.25,6.84,management
392,communication,conversation,8.02,2.52,human communication
393,pollution,atmosphere,4.25,1.67,concept
394,anatomy,biology,5.33,7.71,biology
395,college,profession,3.12,2.02,profession
396,book,topic,2.07,4.59,document
397,formula,equation,7.95,7.83,formula
398,book,information,5.0,3.36,information
399,boy,partner,1.9,1.67,concept
400,sky,universe,4.68,1.44,mathematical concept
401,population,people,7.68,2.51,group of living things
402,college,class,4.13,2.81,organization
403,chief,mayor,4.85,4.82,position
404,rabbi,minister,7.62,5.26,cleric
405,meter,inch,5.08,6.25,unit of length
406,polyester,cotton,5.63,4.85,cloth
407,lawyer,banker,1.88,3.36,profession
408,violin,instrument,6.58,4.51,instrumentalist
409,camp,cabin,4.2,2.44,geographic location
410,pot,appliance,2.53,2.15,tool
411,linen,fabric,7.47,7.4,textile
412,whiskey,champagne,5.33,1.01,first-order metaclass
413,girl,child,5.38,7.94,child
414,cottage,cabin,7.72,3.12,shelter
415,bird,hen,7.03,2.36,taxon
416,racket,noise,8.1,1.68,academic discipline
417,sunset,evening,5.98,4.82,day
418,drizzle,rain,9.17,8.34,rain
419,adult,baby,2.22,2.99,human
420,charcoal,coal,7.63,7.08,solid fuel
421,body,spine,4.78,3.88,anatomical structure
422,head,nail,2.47,3.88,anatomical structure
423,log,timber,8.05,1.72,artificial physical object
424,spoon,cup,2.02,3.64,ingestion
425,body,nerve,3.13,2.97,anatomical structure
426,man,husband,5.32,1.68,social group
427,bone,neck,2.53,2.4,anatomical structure
428,frustration,anger,6.5,3.36,psychology terminology
429,river,sea,5.72,3.42,land waters
430,task,job,8.87,2.52,activity
431,club,society,5.23,6.57,voluntary association
432,reflection,image,7.27,5.18,image
433,prince,king,5.92,7.83,monarch
434,snow,weather,5.48,7.61,weather
435,people,party,2.2,3.36,person
436,boy,brother,6.67,6.28,male human
437,root,grass,3.55,5.22,plant
438,brow,eye,3.82,6.73,facial feature
439,money,pearl,2.1,1.31,goods
440,money,diamond,3.42,1.68,economic concept
441,vehicle,bus,6.47,4.05,vehicle
442,cab,bus,5.6,4.91,passenger transport
443,house,barn,4.33,3.41,building
444,finger,palm,3.33,7.13,human-based unit of measurement
445,car,bridge,0.95,4.05,transport
446,effort,difficulty,4.45,2.51,property
447,fact,insight,4.77,1.44,mental state
448,job,management,3.97,2.52,activity
449,cancer,sickness,7.93,6.92,disease
450,word,newspaper,2.47,2.12,text
451,composer,writer,6.58,6.17,author
452,actor,singer,4.52,2.52,person
453,shelter,hut,6.47,6.44,shelter
454,bathroom,kitchen,3.1,4.53,room
455,cabin,hut,6.53,7.93,hut
456,door,kitchen,1.67,2.66,architectural structure
457,value,belief,7.07,2.01,concept
458,wisdom,intelligence,7.47,1.67,property
459,ignorance,intelligence,1.5,2.01,philosophical concept
460,happiness,luck,2.38,1.43,entity
461,idea,scheme,6.75,2.02,idea
462,mood,emotion,8.12,3.36,mental process
463,happiness,peace,6.03,1.44,process
464,despair,misery,7.22,1.26,concept
465,logic,arithmetic,3.97,4.89,mathematics
466,denial,confession,1.03,2.02,occurrence
467,argument,criticism,5.08,5.52,discourse
468,aggression,hostility,8.48,8.43,aggression
469,hysteria,confusion,6.33,3.36,psychology terminology
470,chemistry,theory,3.17,1.67,classification system
471,trial,verdict,3.33,3.36,occurrence
472,comfort,safety,5.8,1.44,condition
473,confidence,self,3.12,1.43,variable-order metaclass
474,vision,perception,6.88,3.36,psychology terminology
475,era,decade,5.4,4.66,time interval
476,biography,fiction,1.38,4.97,literary genre
477,discussion,argument,5.48,1.77,communication
478,code,symbol,6.03,3.42,sign
479,danger,disease,3.0,1.68,state
480,accident,catastrophe,5.9,6.7,disaster
481,journey,trip,8.88,1.68,occurrence
482,activity,movement,7.15,3.36,activity
483,gossip,news,5.22,2.11,communication
484,father,god,3.57,1.67,concept
485,action,course,5.45,3.5,genre
486,fever,illness,7.65,3.98,health problem
487,aviation,flight,8.18,6.86,commercial aviation
488,game,action,4.85,3.36,activity
489,molecule,air,3.05,2.69,molecule
490,home,state,2.58,2.02,legal concept
491,word,literature,4.77,2.12,text
492,adult,guardian,6.9,1.25,entity
493,newspaper,information,5.65,2.52,information
494,communication,television,5.6,3.49,communication medium
495,cousin,uncle,4.63,6.16,kinship
496,author,reader,1.6,3.36,profession
497,guy,partner,3.57,1.67,concept
498,area,corner,2.07,1.73,physical quantity
499,ballad,song,7.53,5.02,musical composition
500,wall,decoration,2.62,1.47,artificial physical object
501,word,page,2.92,2.64,unit of measurement
502,nurse,scientist,2.08,2.52,profession
503,politician,president,7.38,7.47,politician
504,president,mayor,5.68,5.64,public office
505,book,essay,4.72,1.77,text
506,man,warrior,4.72,1.44,concept
507,article,journal,6.18,3.51,scholarly article
508,breakfast,supper,4.4,6.0,meals
509,crowd,parade,3.93,1.11,entity
510,aisle,hallway,6.75,1.94,construction
511,teacher,rabbi,4.37,2.52,profession
512,hip,lip,1.43,2.97,anatomical structure
513,book,article,5.43,3.61,document
514,room,cell,4.58,1.67,structure
515,box,booth,3.8,2.66,architectural structure
516,daughter,kid,4.17,2.99,human
517,limb,leg,6.9,8.12,leg
518,liver,lung,2.7,5.55,animal organ
519,classroom,hallway,2.0,3.55,interior space
520,mountain,ledge,3.73,3.01,geographic location
521,car,elevator,1.03,4.05,mode of transport
522,bed,couch,3.42,4.5,furniture
523,clothes,button,2.3,7.06,clothing
524,clothes,coat,5.35,5.46,clothing
525,kidney,organ,6.17,3.88,anatomical structure
526,apple,sauce,1.43,3.0,food
527,chicken,steak,3.73,4.61,food
528,car,hose,0.87,2.06,artificial physical object
529,tobacco,cigarette,7.5,8.14,tobacco
530,student,professor,1.95,3.36,occupation
531,baby,daughter,5.0,2.42,human
532,pipe,cigar,6.03,6.88,smoking
533,milk,juice,4.05,4.62,food ingredient
534,box,cigar,1.25,2.1,product
535,apartment,hotel,3.33,4.54,residence
536,cup,cone,3.17,1.26,object
537,horse,ox,3.02,2.36,taxon
538,throat,nose,2.8,2.97,anatomical structure
539,bone,teeth,4.17,4.54,animal organ
540,bone,elbow,3.78,2.97,anatomical structure
541,bacon,bean,1.22,3.0,food
542,cup,jar,5.13,4.03,container
543,proof,fact,7.3,3.51,statement
544,appointment,engagement,6.75,1.68,occurrence
545,birthday,year,1.67,4.8,year
546,word,clue,2.53,3.35,concept
547,author,creator,8.02,5.03,creator
548,atom,carbon,3.1,1.68,first-order metaclass
549,archbishop,bishop,7.05,7.8,bishop
550,letter,paragraph,4.0,2.64,text
551,page,paragraph,3.03,2.12,unit of measurement
552,steeple,chapel,7.08,2.66,architectural structure
553,muscle,bone,3.65,5.55,animal organ
554,muscle,tongue,5.0,2.97,anatomical structure
555,boy,soldier,2.15,1.67,concept
556,belly,abdomen,8.13,2.02,anatomical structure
557,guy,girl,3.33,6.55,gender identity
558,bed,chair,3.5,4.5,furniture
559,clothes,jacket,5.15,5.46,clothing
560,gun,knife,3.65,1.67,class
561,tin,metal,5.63,5.95,metal
562,bottle,container,7.93,5.04,container
563,hen,turkey,6.13,2.36,taxon
564,meat,bread,1.67,4.61,food
565,arm,bone,3.83,2.97,anatomical structure
566,neck,spine,5.32,7.38,neuron spine
567,apple,lemon,4.05,5.25,fruit
568,agony,grief,7.63,1.44,biological process
569,assignment,task,8.7,2.52,action
570,night,dawn,2.95,4.82,day
571,dinner,soup,3.72,6.08,course
572,calf,bull,4.93,6.67,cattle
573,snow,storm,4.8,6.14,weather
574,nail,hand,3.42,7.04,obsolete unit of length
575,dog,horse,2.38,3.9,polyphyletic common name
576,arm,neck,1.58,6.57,anatomical region
577,ball,glove,1.75,5.34,sports equipment
578,flu,fever,6.08,3.31,health problem
579,fee,salary,3.72,1.26,technical term
580,nerve,brain,3.88,2.4,anatomical structure
581,beast,animal,7.83,1.12,abstract object
582,dinner,chicken,2.85,3.0,food
583,girl,maid,2.93,8.07,female
584,child,boy,5.75,7.94,child
585,alcohol,wine,7.42,4.11,Q24700923
586,nose,mouth,3.73,6.8,subdivision of face
587,street,car,2.38,2.66,architectural structure
588,bell,door,2.2,1.26,first-order metaclass
589,box,hat,1.3,2.1,product
590,belief,impression,5.95,1.67,term
591,bias,opinion,5.6,2.52,point of view
592,attention,awareness,8.73,3.36,cognition
593,anger,mood,4.1,2.02,mental process
594,elegance,style,5.72,2.01,philosophical concept
595,beauty,age,1.58,4.22,physical quantity
596,book,theme,2.58,2.52,information
597,friend,mother,2.53,2.42,human
598,vitamin,iron,5.55,2.56,chemical substance
599,car,factory,2.75,3.66,market
600,pact,condition,2.45,2.02,condition
601,chapter,choice,0.48,1.44,term
602,arithmetic,rhythm,2.35,1.68,process
603,winner,presence,1.08,1.67,concept
604,belief,flower,0.4,1.12,concept
605,winner,goal,3.23,2.01,concept
606,trick,size,0.48,1.68,Wikidata metaclass
607,choice,vein,0.98,1.26,group
608,hymn,conquest,0.68,1.67,technical term
609,endurance,band,0.4,1.12,concept
610,jail,choice,1.08,2.02,human action
611,condition,boy,0.48,2.01,concept
612,flower,endurance,0.4,1.01,concept
613,hole,agreement,0.3,2.01,philosophical concept
614,doctor,temper,0.48,1.68,Wikidata metaclass
615,fraternity,door,0.68,1.44,agent
616,task,woman,0.68,1.44,concept
617,fraternity,baseball,0.88,1.44,human behaviour
618,cent,size,0.4,3.13,type of number
619,presence,door,0.48,1.67,philosophical concept
620,mouse,management,0.48,2.02,academic discipline
621,task,highway,0.48,1.44,activity
622,liquor,century,0.4,1.26,class
623,task,straw,0.68,1.68,activity
624,island,task,0.3,1.12,philosophical concept
625,night,chapter,0.48,1.43,entity
626,pollution,president,0.68,1.67,concept
627,gun,trick,0.48,1.67,class
628,bath,trick,0.58,2.02,activity
629,diet,apple,1.18,1.26,first-order metaclass
630,cent,wife,0.58,1.67,artificial entity
631,chapter,tail,0.3,2.25,collectible
632,course,stomach,0.58,1.68,first-order metaclass
633,hymn,straw,0.4,1.44,class
634,dentist,colonel,0.4,2.01,first-order metaclass
635,wife,straw,0.4,1.47,artificial physical object
636,hole,wife,0.68,1.7,concrete object
637,pupil,president,0.78,3.36,occupation
638,bath,wife,0.48,2.06,artificial physical object
639,people,cent,0.48,2.01,artificial entity
640,formula,log,1.77,1.29,artificial physical object
641,woman,fur,0.58,2.03,organism
642,apple,sunshine,0.58,1.44,class
643,gun,dawn,1.18,1.26,class
644,meal,waist,0.98,1.32,product
645,camera,president,0.48,1.44,concept
646,liquor,band,0.68,1.67,part
647,stomach,vein,2.35,2.97,anatomical structure
648,gun,fur,0.3,1.67,class
649,couch,baseball,0.88,1.75,product
650,worker,camera,0.68,1.44,concept
651,deck,mouse,0.48,1.72,artificial physical object
652,rice,boy,0.4,1.47,artificial physical object
653,people,gun,0.68,1.68,social group
654,cliff,tail,0.3,1.44,first-order metaclass
655,ankle,window,0.3,1.26,first-order metaclass
656,princess,island,0.3,1.14,physical object
657,container,mouse,0.3,2.1,product
658,wagon,container,2.65,4.05,transport
659,people,balloon,0.48,2.04,physical object
660,dollar,people,0.4,1.26,system
661,bath,balloon,0.4,2.89,container
662,stomach,bedroom,0.4,1.02,physical object
663,bicycle,bedroom,0.4,2.57,motion
664,log,bath,0.4,1.47,artificial physical object
665,bowl,tail,0.48,1.86,tool
