,wordone,wordtwo,mean,sim,LCS
188,arm,body,4.05,3.33,physical object
189,boat,car,2.37,2.0,mode of transport
190,sandwich,lunch,6.3,0.91,entity
191,bride,princess,2.8,3.33,woman
192,heroine,hero,8.78,10.0,hero
193,car,gauge,1.13,2.5,device
194,insect,bee,6.07,5.0,insect
195,crib,cradle,8.55,10.0,infant bed
196,animal,person,3.05,2.5,taxon
197,marijuana,herb,6.5,10.0,cannabis
198,bed,hospital,0.92,2.0,facility
199,cheek,tongue,4.52,2.5,anatomical structure
200,disc,computer,3.2,2.5,computer hardware
201,curve,angle,3.33,2.5,shape
202,grass,moss,5.0,3.33,taxon
203,school,law,1.13,1.67,first-order metaclass
204,foot,head,2.3,3.33,anatomical structure
205,mother,guardian,6.5,2.0,kinship
206,orthodontist,dentist,8.27,5.0,dentist
207,alcohol,whiskey,7.27,1.67,Q24700923
208,mouth,tooth,6.3,5.0,mouth
209,breakfast,bacon,4.37,0.77,entity
210,bathroom,bedroom,3.4,3.33,room
211,plate,bowl,5.23,3.33,tableware
212,meat,bacon,5.8,3.33,meat
213,air,helium,3.63,3.33,lifting gas
214,worker,employer,5.37,2.0,agent
215,body,chest,4.45,3.33,anatomical structure
216,son,father,3.82,3.33,kinship
217,heart,surgery,1.08,2.0,first-order metaclass
218,woman,secretary,1.98,1.67,concept
219,man,father,4.83,2.0,social group
220,beach,island,5.6,3.33,landform
221,story,topic,5.0,2.0,creative work
222,game,fun,3.42,1.67,work
223,weekend,week,4.0,5.0,week
224,couple,pair,8.33,10.0,ordered pair
225,woman,wife,5.72,3.33,female human
226,sheep,cattle,4.77,3.33,polyphyletic common name
227,purse,bag,8.33,5.0,bag
228,ceiling,cathedral,2.42,2.0,building
229,bean,coffee,5.15,2.5,food
230,wood,paper,2.88,1.67,base material
231,top,side,1.9,5.0,side
232,crime,fraud,5.65,5.0,crime
233,pain,harm,5.38,2.0,philosophical concept
234,lover,companion,5.97,3.33,character type
235,evening,dusk,7.78,3.33,day
236,father,daughter,2.62,3.33,kinship
237,wine,liquor,7.85,3.33,alcoholic beverage
238,cow,goat,2.93,3.33,polyphyletic common name
239,belief,opinion,7.7,1.43,notion
240,reality,illusion,1.42,3.33,psychology terminology
241,pact,agreement,9.02,10.0,agreement
242,wealth,poverty,1.27,3.33,state
243,accident,emergency,4.93,2.0,condition
244,battle,conquest,7.22,2.5,occurrence
245,friend,teacher,2.62,1.67,person
246,illness,infection,6.9,5.0,disease
247,game,trick,2.32,2.5,human behaviour
248,brother,son,3.48,3.33,kinship
249,aunt,nephew,3.1,3.33,kinship
250,worker,mechanic,4.92,3.33,worker
251,doctor,orthodontist,5.58,2.5,profession
252,oak,maple,6.03,3.33,type of wood
253,bee,queen,3.27,1.67,first-order metaclass
254,car,bicycle,3.47,3.33,transport
255,goal,quest,5.83,3.33,concept
256,august,month,5.53,5.0,calendar month
257,army,squad,5.08,2.5,military unit
258,cloud,weather,4.87,3.33,natural phenomenon
259,physician,doctor,8.88,10.0,physician
260,canyon,valley,6.75,5.0,valley
261,river,valley,1.67,2.5,natural geographic object
262,sun,sky,2.27,1.43,concept
263,target,arrow,3.25,2.0,entity
264,chocolate,pie,2.27,2.0,food
265,circumstance,situation,7.85,1.67,condition
266,opinion,choice,5.43,2.0,statement
267,rhythm,melody,6.12,3.33,aspect of music
268,gut,nerve,4.93,2.5,anatomical structure
269,day,dawn,5.47,5.0,day
270,cattle,beef,7.03,1.11,first-order metaclass
271,doctor,professor,4.65,2.5,profession
272,arm,vein,3.65,2.5,anatomical structure
273,room,bath,3.33,1.43,structure
274,corporation,business,9.02,3.33,company
275,fun,football,1.97,1.25,class
276,hill,cliff,4.28,3.33,landform
277,bone,ankle,3.82,2.5,anatomical structure
278,apple,candy,2.08,2.0,food
279,helper,maid,5.58,2.0,profession
280,leader,manager,7.27,3.33,position
281,lemon,tea,1.6,2.0,chemical compound
282,bee,ant,2.78,3.33,insect
283,basketball,baseball,4.92,3.33,type of sport
284,rice,bean,2.72,2.5,food
285,bed,furniture,6.08,5.0,furniture
286,emotion,passion,7.72,5.0,emotion
287,anarchy,chaos,7.93,3.33,concept
288,crime,violation,7.12,1.67,problem
289,machine,engine,5.58,5.0,machine
290,beach,sea,4.68,2.5,geographic location
291,alley,bowl,1.53,1.43,artificial physical object
292,jar,bottle,7.83,2.5,container
293,strength,capability,5.28,1.67,system
294,seed,mustard,3.48,3.33,seed
295,guitar,drum,3.78,2.0,class of instruments
296,opinion,idea,5.7,2.0,notion
297,north,west,3.63,3.33,cardinal direction
298,diet,salad,2.98,1.11,artificial entity
299,mother,wife,3.02,3.33,female human
300,dad,mother,3.55,3.33,kinship
301,captain,sailor,5.0,5.0,sailor
302,meter,yard,5.6,3.33,unit of length
303,beer,champagne,4.45,1.67,first-order metaclass
304,motor,boat,2.57,2.0,machine
305,card,bridge,1.97,2.0,artificial physical object
306,science,psychology,4.92,3.33,academic discipline
307,sinner,saint,1.6,1.67,person
308,destruction,construction,0.98,3.33,occurrence
309,crowd,bunch,7.42,2.5,person
310,beach,reef,3.77,2.5,landform
311,man,child,4.13,2.0,organism
312,bread,cheese,1.95,2.5,food
313,champion,winner,8.73,5.0,winner
314,celebration,ceremony,7.72,3.33,event
315,menu,order,3.62,2.0,communication
316,king,princess,3.27,2.5,occupation
317,wealth,prestige,6.07,2.0,term
318,endurance,strength,6.58,1.11,abstract object
319,danger,threat,8.78,1.43,abstract object
320,god,priest,4.5,1.67,concept
321,men,fraternity,3.13,2.0,social organization
322,buddy,companion,8.65,1.67,fictional character
323,teacher,helper,4.28,3.33,position
324,body,stomach,3.93,3.33,anatomical structure
325,tongue,throat,3.1,3.33,anatomical structure
326,house,carpet,1.38,1.67,artificial physical object
327,intelligence,skill,5.35,2.0,property
328,journey,conquest,4.72,3.33,occurrence
329,god,prey,1.23,1.43,entity
330,brother,soul,0.97,2.0,person
331,adversary,opponent,9.05,10.0,adversary
332,death,catastrophe,4.13,2.5,occurrence
333,monster,demon,6.95,2.5,mythical creature
334,day,morning,4.87,5.0,day
335,man,victor,1.9,1.67,group of humans
336,friend,guy,3.88,1.25,concept
337,song,story,3.97,3.33,literary work
338,ray,sunshine,6.83,2.0,class
339,guy,stud,5.83,2.0,sex
340,chicken,rice,1.43,2.5,food
341,box,elevator,1.32,2.5,tool
342,butter,potato,1.22,2.5,food ingredient
343,apartment,furniture,1.28,1.25,product
344,lake,swamp,4.92,1.67,natural geographic object
345,salad,vinegar,1.13,2.5,food
346,flower,bulb,4.48,2.5,plant structure
347,cloud,mist,6.67,2.0,cloud
348,driver,pilot,6.28,5.0,vehicle operator
349,sugar,honey,5.13,3.33,food ingredient
350,body,shoulder,2.88,2.5,physical object
351,idea,image,3.55,3.33,concept
352,father,brother,4.2,3.33,kinship
353,moon,planet,5.87,3.33,planetary system
354,ball,costume,2.32,2.5,product
355,rail,fence,5.22,2.0,artificial geographic entity
356,room,bed,2.35,2.0,location
357,flower,bush,4.25,2.5,plant
358,bone,knee,4.17,2.0,anatomical structure
359,arm,knee,2.75,2.5,anatomical region
360,bottom,side,2.63,5.0,side
361,vessel,vein,5.15,3.33,vessel
362,cat,rabbit,2.37,3.33,polyphyletic common name
363,meat,sandwich,2.35,2.5,food
364,belief,concept,5.08,2.5,concept
365,intelligence,insight,5.9,1.67,property
366,attention,interest,7.22,3.33,psychology terminology
367,attitude,confidence,4.35,1.67,entity
368,right,justice,7.05,2.5,academic discipline
369,argument,agreement,1.45,3.33,Wikimedia disambiguation page
370,depth,magnitude,6.12,3.33,scalar magnitude
371,medium,news,3.65,3.33,communication
372,winner,candidate,2.78,2.5,person
373,birthday,date,5.08,5.0,calendar date
374,fee,payment,7.15,1.67,legal transaction
375,bible,hymn,5.15,2.0,text
376,exit,doorway,5.5,10.0,doorway
377,man,sentry,3.25,2.0,system
378,aisle,hall,6.35,2.5,part of building
379,whiskey,gin,6.28,3.33,liquor
380,blood,marrow,3.4,2.5,food
381,oil,mink,1.23,1.0,concept
382,floor,deck,5.55,3.33,floor
383,roof,floor,2.62,3.33,architectural element
384,door,floor,1.67,3.33,architectural element
385,shoulder,head,3.42,3.33,anatomical region
386,wagon,carriage,7.7,2.5,wheeled vehicle
387,car,carriage,5.13,2.0,wheeled vehicle
388,elbow,ankle,3.13,3.33,anatomical structure
389,wealth,fame,4.02,1.11,variable-order metaclass
390,sorrow,shame,4.77,3.33,psychology terminology
391,administration,management,7.25,5.0,management
392,communication,conversation,8.02,2.5,human communication
393,pollution,atmosphere,4.25,1.67,concept
394,anatomy,biology,5.33,5.0,biology
395,college,profession,3.12,2.0,profession
396,book,topic,2.07,3.33,document
397,formula,equation,7.95,5.0,formula
398,book,information,5.0,3.33,information
399,boy,partner,1.9,1.67,concept
400,sky,universe,4.68,1.43,mathematical concept
401,population,people,7.68,2.5,group of living things
402,college,class,4.13,2.0,organization
403,chief,mayor,4.85,3.33,profession
404,rabbi,minister,7.62,2.5,cleric
405,meter,inch,5.08,3.33,unit of length
406,polyester,cotton,5.63,3.33,fiber
407,lawyer,banker,1.88,3.33,profession
408,violin,instrument,6.58,2.5,instrumentalist
409,camp,cabin,4.2,2.0,geographic location
410,pot,appliance,2.53,2.0,product
411,linen,fabric,7.47,5.0,textile
412,whiskey,champagne,5.33,1.0,first-order metaclass
413,girl,child,5.38,5.0,child
414,cottage,cabin,7.72,2.0,shelter
415,bird,hen,7.03,2.0,taxon
416,racket,noise,8.1,1.67,concept
417,sunset,evening,5.98,3.33,day
418,drizzle,rain,9.17,5.0,rain
419,adult,baby,2.22,2.5,human
420,charcoal,coal,7.63,3.33,solid fuel
421,body,spine,4.78,3.33,anatomical structure
422,head,nail,2.47,3.33,anatomical structure
423,log,timber,8.05,1.67,artificial physical object
424,spoon,cup,2.02,2.5,ingestion
425,body,nerve,3.13,2.5,anatomical structure
426,man,husband,5.32,1.67,social group
427,bone,neck,2.53,2.0,anatomical structure
428,frustration,anger,6.5,3.33,psychology terminology
429,river,sea,5.72,2.5,land waters
430,task,job,8.87,2.5,activity
431,club,society,5.23,5.0,voluntary association
432,reflection,image,7.27,5.0,image
433,prince,king,5.92,5.0,monarch
434,snow,weather,5.48,5.0,weather
435,people,party,2.2,3.33,person
436,boy,brother,6.67,3.33,male human
437,root,grass,3.55,3.33,plant
438,brow,eye,3.82,3.33,facial feature
439,money,pearl,2.1,1.25,goods
440,money,diamond,3.42,1.67,economic concept
441,vehicle,bus,6.47,2.5,vehicle
442,cab,bus,5.6,2.5,passenger transport
443,house,barn,4.33,2.5,building
444,finger,palm,3.33,3.33,hand
445,car,bridge,0.95,2.5,transport
446,effort,difficulty,4.45,2.5,property
447,fact,insight,4.77,1.43,mental state
448,job,management,3.97,2.5,activity
449,cancer,sickness,7.93,5.0,disease
450,word,newspaper,2.47,2.0,concept
451,composer,writer,6.58,3.33,author
452,actor,singer,4.52,2.5,profession
453,shelter,hut,6.47,5.0,shelter
454,bathroom,kitchen,3.1,3.33,room
455,cabin,hut,6.53,5.0,hut
456,door,kitchen,1.67,2.0,architectural structure
457,value,belief,7.07,2.0,concept
458,wisdom,intelligence,7.47,1.67,property
459,ignorance,intelligence,1.5,2.0,philosophical concept
460,happiness,luck,2.38,1.43,entity
461,idea,scheme,6.75,2.0,idea
462,mood,emotion,8.12,3.33,mental process
463,happiness,peace,6.03,1.43,process
464,despair,misery,7.22,1.25,concept
465,logic,arithmetic,3.97,3.33,mathematics
466,denial,confession,1.03,2.0,occurrence
467,argument,criticism,5.08,3.33,discourse
468,aggression,hostility,8.48,5.0,aggression
469,hysteria,confusion,6.33,3.33,psychology terminology
470,chemistry,theory,3.17,1.67,classification system
471,trial,verdict,3.33,3.33,occurrence
472,comfort,safety,5.8,1.43,condition
473,confidence,self,3.12,1.43,entity
474,vision,perception,6.88,3.33,psychology terminology
475,era,decade,5.4,3.33,time interval
476,biography,fiction,1.38,3.33,literary genre
477,discussion,argument,5.48,1.67,communication
478,code,symbol,6.03,3.33,sign
479,danger,disease,3.0,1.67,state
480,accident,catastrophe,5.9,5.0,disaster
481,journey,trip,8.88,1.67,occurrence
482,activity,movement,7.15,3.33,activity
483,gossip,news,5.22,2.0,communication
484,father,god,3.57,1.67,concept
485,action,course,5.45,3.33,activity
486,fever,illness,7.65,2.5,health problem
487,aviation,flight,8.18,3.33,commercial aviation
488,game,action,4.85,3.33,activity
489,molecule,air,3.05,2.0,molecule
490,home,state,2.58,2.0,group of humans
491,word,literature,4.77,2.0,text
492,adult,guardian,6.9,1.25,entity
493,newspaper,information,5.65,2.5,information
494,communication,television,5.6,3.33,communication medium
495,cousin,uncle,4.63,3.33,kinship
496,author,reader,1.6,3.33,profession
497,guy,partner,3.57,1.67,concept
498,area,corner,2.07,1.67,rule
499,ballad,song,7.53,3.33,literary work
500,wall,decoration,2.62,1.43,artificial physical object
501,word,page,2.92,2.5,unit of measurement
502,nurse,scientist,2.08,2.5,profession
503,politician,president,7.38,5.0,politician
504,president,mayor,5.68,3.33,public office
505,book,essay,4.72,1.67,text
506,man,warrior,4.72,1.43,concept
507,article,journal,6.18,3.33,scholarly article
508,breakfast,supper,4.4,3.33,meals
509,crowd,parade,3.93,1.11,entity
510,aisle,hallway,6.75,1.43,construction
511,teacher,rabbi,4.37,2.5,profession
512,hip,lip,1.43,2.5,anatomical structure
513,book,article,5.43,3.33,text
514,room,cell,4.58,1.67,structure
515,box,booth,3.8,2.0,architectural structure
516,daughter,kid,4.17,2.5,human
517,limb,leg,6.9,5.0,leg
518,liver,lung,2.7,3.33,animal organ
519,classroom,hallway,2.0,2.5,interior space
520,mountain,ledge,3.73,2.5,geographic location
521,car,elevator,1.03,2.5,mode of transport
522,bed,couch,3.42,3.33,furniture
523,clothes,button,2.3,5.0,clothing
524,clothes,coat,5.35,3.33,clothing
525,kidney,organ,6.17,3.33,anatomical structure
526,apple,sauce,1.43,2.0,food
527,chicken,steak,3.73,3.33,food
528,car,hose,0.87,2.0,artificial physical object
529,tobacco,cigarette,7.5,5.0,tobacco
530,student,professor,1.95,3.33,occupation
531,baby,daughter,5.0,2.0,human
532,pipe,cigar,6.03,3.33,smoking
533,milk,juice,4.05,3.33,food ingredient
534,box,cigar,1.25,2.0,product
535,apartment,hotel,3.33,2.5,residence
536,cup,cone,3.17,1.25,philosophical concept
537,horse,ox,3.02,2.0,taxon
538,throat,nose,2.8,2.5,anatomical structure
539,bone,teeth,4.17,2.5,animal organ
540,bone,elbow,3.78,2.5,anatomical structure
541,bacon,bean,1.22,2.0,food
542,cup,jar,5.13,2.5,container
543,proof,fact,7.3,2.5,statement
544,appointment,engagement,6.75,1.67,occurrence
545,birthday,year,1.67,3.33,year
546,word,clue,2.53,3.33,concept
547,author,creator,8.02,5.0,creator
548,atom,carbon,3.1,1.67,first-order metaclass
549,archbishop,bishop,7.05,5.0,bishop
550,letter,paragraph,4.0,2.5,text
551,page,paragraph,3.03,2.0,unit of measurement
552,steeple,chapel,7.08,2.0,architectural structure
553,muscle,bone,3.65,3.33,animal organ
554,muscle,tongue,5.0,2.5,anatomical structure
555,boy,soldier,2.15,1.67,concept
556,belly,abdomen,8.13,1.67,anatomical structure
557,guy,girl,3.33,3.33,gender identity
558,bed,chair,3.5,3.33,furniture
559,clothes,jacket,5.15,3.33,clothing
560,gun,knife,3.65,1.67,class
561,tin,metal,5.63,5.0,metal
562,bottle,container,7.93,3.33,container
563,hen,turkey,6.13,2.0,taxon
564,meat,bread,1.67,3.33,food
565,arm,bone,3.83,2.5,anatomical structure
566,neck,spine,5.32,3.33,neuron spine
567,apple,lemon,4.05,2.5,fruit
568,agony,grief,7.63,1.43,biological process
569,assignment,task,8.7,2.5,action
570,night,dawn,2.95,3.33,day
571,dinner,soup,3.72,3.33,course
572,calf,bull,4.93,3.33,cattle
573,snow,storm,4.8,3.33,weather
574,nail,hand,3.42,3.33,obsolete unit of length
575,dog,horse,2.38,3.33,polyphyletic common name
576,arm,neck,1.58,3.33,anatomical region
577,ball,glove,1.75,2.5,sports equipment
578,flu,fever,6.08,2.0,health problem
579,fee,salary,3.72,1.25,technical term
580,nerve,brain,3.88,2.0,anatomical structure
581,beast,animal,7.83,1.11,abstract object
582,dinner,chicken,2.85,2.0,food
583,girl,maid,2.93,5.0,female
584,child,boy,5.75,5.0,child
585,alcohol,wine,7.42,2.0,Q24700923
586,nose,mouth,3.73,3.33,animal organ
587,street,car,2.38,2.0,architectural structure
588,bell,door,2.2,1.25,philosophical concept
589,box,hat,1.3,2.0,product
590,belief,impression,5.95,1.67,term
591,bias,opinion,5.6,2.5,point of view
592,attention,awareness,8.73,3.33,cognition
593,anger,mood,4.1,2.0,mental process
594,elegance,style,5.72,2.0,philosophical concept
595,beauty,age,1.58,3.33,physical quantity
596,book,theme,2.58,2.5,information
597,friend,mother,2.53,2.0,social relation
598,vitamin,iron,5.55,2.0,chemical substance
599,car,factory,2.75,1.67,economic activity
600,pact,condition,2.45,2.0,concept
601,chapter,choice,0.48,1.43,term
602,arithmetic,rhythm,2.35,1.67,process
603,winner,presence,1.08,1.67,concept
604,belief,flower,0.4,1.11,abstract object
605,winner,goal,3.23,2.0,concept
606,trick,size,0.48,1.67,concept
607,choice,vein,0.98,1.25,group
608,hymn,conquest,0.68,1.67,technical term
609,endurance,band,0.4,1.11,concept
610,jail,choice,1.08,2.0,human action
611,condition,boy,0.48,2.0,concept
612,flower,endurance,0.4,1.0,abstract object
613,hole,agreement,0.3,2.0,philosophical concept
614,doctor,temper,0.48,1.67,Wikidata metaclass
615,fraternity,door,0.68,1.43,agent
616,task,woman,0.68,1.43,concept
617,fraternity,baseball,0.88,1.43,human behaviour
618,cent,size,0.4,2.0,physical quantity
619,presence,door,0.48,1.67,philosophical concept
620,mouse,management,0.48,2.0,first-order metaclass
621,task,highway,0.48,1.43,activity
622,liquor,century,0.4,1.25,class
623,task,straw,0.68,1.67,activity
624,island,task,0.3,1.11,philosophical concept
625,night,chapter,0.48,1.43,entity
626,pollution,president,0.68,1.67,concept
627,gun,trick,0.48,1.67,class
628,bath,trick,0.58,2.0,activity
629,diet,apple,1.18,1.25,first-order metaclass
630,cent,wife,0.58,1.67,artificial entity
631,chapter,tail,0.3,2.0,character
632,course,stomach,0.58,1.67,first-order metaclass
633,hymn,straw,0.4,1.43,concept
634,dentist,colonel,0.4,2.0,first-order metaclass
635,wife,straw,0.4,1.43,Wikidata metaclass
636,hole,wife,0.68,1.67,concrete object
637,pupil,president,0.78,3.33,occupation
638,bath,wife,0.48,2.0,artificial physical object
639,people,cent,0.48,2.0,artificial entity
640,formula,log,1.77,1.25,mathematical concept
641,woman,fur,0.58,1.67,organism
642,apple,sunshine,0.58,1.43,class
643,gun,dawn,1.18,1.25,class
644,meal,waist,0.98,1.25,part
645,camera,president,0.48,1.43,concept
646,liquor,band,0.68,1.67,part
647,stomach,vein,2.35,2.5,anatomical structure
648,gun,fur,0.3,1.67,class
649,couch,baseball,0.88,1.67,product
650,worker,camera,0.68,1.43,concept
651,deck,mouse,0.48,1.67,artificial physical object
652,rice,boy,0.4,1.43,artificial physical object
653,people,gun,0.68,1.67,class
654,cliff,tail,0.3,1.43,first-order metaclass
655,ankle,window,0.3,1.25,first-order metaclass
656,princess,island,0.3,1.11,physical object
657,container,mouse,0.3,2.0,product
658,wagon,container,2.65,2.5,transport
659,people,balloon,0.48,2.0,physical object
660,dollar,people,0.4,1.25,entity
661,bath,balloon,0.4,1.67,physical object
662,stomach,bedroom,0.4,1.0,physical object
663,bicycle,bedroom,0.4,1.67,motion
664,log,bath,0.4,1.43,artificial physical object
665,bowl,tail,0.48,1.43,tool
